symbol,yf_ticker,company,sector,close,pass_trend_template,trend_template_hits,rs_rating,vcp_detected,vcp_score,pivot,distance_to_pivot_pct,notes
BJCHI,BJCHI.BK,BJC HEAVY INDUSTRIES PUBLIC COMPANY LIMITED,Construction Services,3.54,True,7,82.0,False,0.0,3.68,3.95,
MPJ,MPJ.BK,MPJ Logistics Public Company Limited,-,4.48,True,7,82.0,False,0.0,3.86,-13.84,
PRG,PRG.BK,PRG CORPORATION PUBLIC COMPANY LIMITED,Food & Beverage,10.9,True,7,82.0,False,0.0,9.15,-16.06,
SPRIME,SPRIME.BK,S PRIME GROWTH LEASEHOLD REAL ESTATE INVESTMENT TRUST,Property Fund & REITs,4.32,True,7,82.0,False,0.0,4.32,-0.02,
BKIH,BKIH.BK,BKI HOLDINGS PUBLIC COMPANY LIMITED,Insurance,391.0,True,7,81.0,False,0.0,370.62,-5.21,
KGI,KGI.BK,KGI SECURITIES (THAILAND) PUBLIC COMPANY LIMITED,Finance & Securities,5.05,True,7,81.0,False,0.0,4.28,-15.25,
TIPH,TIPH.BK,DHIPAYA GROUP HOLDINGS PUBLIC COMPANY LIMITED,Insurance,25.5,True,7,81.0,False,0.0,22.3,-12.55,
TVH,TVH.BK,THAIVIVAT HOLDINGS PUBLIC COMPANY LIMITED,Insurance,11.9,True,7,81.0,False,0.0,12.3,3.36,
CPTREIT,CPTREIT.BK,C.P. Tower Leasehold Real Estate Investment Trust,Property Fund & REITs,6.45,True,7,80.0,False,0.0,6.8,5.43,
THANA,THANA.BK,THANASIRI GROUP PUBLIC COMPANY LIMITED,-,1.58,True,7,80.0,False,0.0,1.6,1.27,
